epoch,timestamp,average_loss,output1_loss,output2_loss,output3_loss
215,2025-03-13 00:37:36,-11667.150349592963,-12609.940979516807,-11907.441061580883,-10779.8383255646
216,2025-03-13 00:39:44,-11768.21622242647,-12719.289169183297,-12010.556640625,-10873.155191373424
217,2025-03-13 00:41:52,-11857.80990677521,-12816.470153295693,-12101.766273306197,-10955.846490940126
218,2025-03-13 00:43:59,-11953.573348870797,-12920.057362788866,-12199.358119419643,-11044.370667016807
219,2025-03-13 00:46:07,-12049.43703223477,-13023.815913865546,-12296.982044380253,-11132.993139443277
220,2025-03-13 00:48:15,-12144.3765181854,-13126.74313123687,-12393.67043067227,-11220.630178243173
221,2025-03-13 00:50:24,-12224.351455816703,-13213.135020023634,-12475.353704372374,-11294.511062237394
222,2025-03-13 00:52:31,-12311.594004398634,-13307.471023174894,-12564.073570443803,-11375.325581013656
223,2025-03-13 00:54:40,-12416.08748851103,-13420.42197347689,-12670.97158121061,-11471.672629989496
224,2025-03-13 00:56:47,-12504.208303243173,-13515.783416491597,-12760.64230731355,-11553.200507155987
225,2025-03-13 00:58:55,-12609.454126181723,-13629.781865480567,-12867.818203453257,-11650.43420102416
226,2025-03-13 01:01:04,-12697.573160123424,-13724.9887161896,-12957.850577731093,-11731.802307641807
227,2025-03-13 01:03:13,-12780.86115579044,-13815.12668231355,-13042.634511226366,-11808.830808495273
228,2025-03-13 01:05:21,-12894.36493073792,-13937.899766938026,-13158.416745995273,-11913.67403328519
229,2025-03-13 01:07:29,-12983.099584755777,-14034.060637145483,-13248.80310366334,-11995.599995076156
230,2025-03-13 01:09:37,-13083.35216977416,-14142.499130120797,-13350.992269564076,-12088.26054523372
231,2025-03-13 01:11:46,-13173.76602711397,-14240.358349199054,-13443.14338235294,-12171.78757714023
232,2025-03-13 01:13:55,-13266.66813287815,-14340.46106880252,-13538.05145417542,-12257.78468027836
233,2025-03-13 01:16:03,-13366.947511817227,-14449.23353794643,-13640.03925945378,-12350.412930015757
234,2025-03-13 01:18:11,-13456.77370831145,-14546.280429359243,-13731.902688419117,-12433.29583278624
235,2025-03-13 01:20:19,-13565.463506105567,-14664.156914719013,-13842.373334099264,-12533.759855895483
236,2025-03-13 01:22:28,-13651.00137867647,-14756.611779477416,-13929.697758009454,-12612.770015428046
237,2025-03-13 01:24:37,-13767.16675420168,-14882.209230567227,-14048.097442883403,-12720.185530462184
238,2025-03-13 01:26:45,-13864.68881302521,-14988.019038865546,-14147.456309086134,-12810.114208574054
239,2025-03-13 01:28:54,-13959.934422597164,-15090.724018513656,-14244.718733587184,-12898.25262605042
240,2025-03-13 01:31:02,-14054.707720588236,-15193.100356158087,-14341.336323201156,-12985.940610228467
241,2025-03-13 01:33:10,-14147.760061055673,-15294.2689896271,-14435.962340795693,-13071.725405396533
242,2025-03-13 01:35:18,-14256.504021139706,-15411.845383075106,-14546.87061777836,-13172.22151555935
243,2025-03-13 01:37:26,-14349.124540441177,-15512.154543067227,-14641.231190913866,-13257.77067194065
244,2025-03-13 01:39:35,-14449.66793592437,-15621.062270220587,-14743.802947741597,-13350.51935891544
245,2025-03-13 01:41:44,-14550.12435990021,-15729.598345588236,-14846.16608127626,-13443.486475840336
246,2025-03-13 01:43:52,-14649.383296678046,-15837.039218421743,-14947.288849133403,-13535.21087184874
247,2025-03-13 01:46:00,-14773.7943802521,-15971.701467305673,-15074.084230567227,-13650.145327271533
